FirstName,LastName,Department,Title,Username,Manager,Contractor,Remote
John,Grisham,IT,Help Desk Technician,jgrisham,it.manager,FALSE,FALSE
David,Baldacci,Finance,Accountant,dbaldacci,finance.manager,FALSE,TRUE
Harlan,Coben,Legal,Compliance Analyst,hcoben,legal.manager,FALSE,FALSE
Gillian,Flynn,HR,Benefits Specialist,gflynn,hr.manager,TRUE,TRUE
Tana,French,Sales,Sales Representative,tfrench,sales.manager,FALSE,TRUE
Louise,Penny,IT,Security Analyst,lpenny,it.manager,FALSE,FALSE
Agatha,Christie,Finance,Financial Analyst,achristie,finance.manager,FALSE,TRUE
Dorothy,Sayers,Legal,Legal Assistant,dsayers,legal.manager,FALSE,FALSE
Arthur,Doyle,HR,Recruiter,adoyle,hr.manager,TRUE,TRUE
Bram,Stoker,Sales,Account Executive,bstoker,sales.manager,FALSE,TRUE
Mary,Shelley,IT,Systems Administrator,mshelley,it.manager,FALSE,FALSE
Oscar,Wilde,Finance,Budget Analyst,owilde,finance.manager,FALSE,TRUE
Edgar,Poe,Legal,Paralegal,epoe,legal.manager,FALSE,FALSE
Herman,Melville,HR,HR Coordinator,hmelville,hr.manager,TRUE,TRUE
Mark,Twain,Sales,Sales Operations Analyst,mtwain,sales.manager,FALSE,TRUE
Ernest,Hemingway,IT,Network Administrator,ehemingway,it.manager,FALSE,FALSE
F Scott,Fitzgerald,Finance,Financial Systems Analyst,fsfitzgerald,finance.manager,FALSE,TRUE
John,Steinbeck,Legal,Contract Specialist,jsteinbeck,legal.manager,FALSE,FALSE
Alice,Walker,HR,HR Specialist,awalker,hr.manager,TRUE,TRUE
Maya,Angelou,Sales,Business Development Representative,mangelou,sales.manager,FALSE,TRUE
James,Joyce,IT,Cloud Administrator,jjoyce,it.manager,FALSE,FALSE
Leo,Tolstoy,Finance,Financial Analyst,ltolstoy,finance.manager,FALSE,TRUE
Fyodor,Dostoevsky,Legal,Compliance Analyst,fdostoevsky,legal.manager,FALSE,FALSE
Gabriel,Marquez,HR,Recruiter,gmarquez,hr.manager,TRUE,TRUE
Isabel,Allende,Sales,Sales Representative,iallende,sales.manager,FALSE,TRUE
Chimamanda,Adichie,IT,Security Analyst,cadichie,it.manager,FALSE,FALSE
Roxane,Gay,Finance,Accountant,rgay,finance.manager,FALSE,TRUE
Ta Nehisi,Coates,Legal,Legal Operations Specialist,tcoates,legal.manager,FALSE,FALSE
Brit,Bennett,HR,Benefits Specialist,bbennett,hr.manager,TRUE,TRUE
Yaa,Gyasi,Sales,Account Executive,ygyasi,sales.manager,FALSE,TRUE
Saeed,Jones,IT,Help Desk Technician,sjones,it.manager,FALSE,FALSE
Lauren,Groff,Finance,Budget Analyst,lgroff,finance.manager,FALSE,TRUE
George,Saunders,Legal,Paralegal,gsaunders,legal.manager,FALSE,FALSE
Jonathan,Franzen,HR,HR Coordinator,jfranzen,hr.manager,TRUE,TRUE
Jonathan,Foer,Sales,Sales Operations Analyst,jfoer,sales.manager,FALSE,TRUE
Maggie,Nelson,IT,Systems Administrator,mnelson,it.manager,FALSE,FALSE
Sigrid,Nunez,Finance,Financial Systems Analyst,snunez,finance.manager,FALSE,TRUE
Rachel,Cusk,Legal,Contract Specialist,rcusk,legal.manager,FALSE,FALSE
Samantha,Irby,HR,HR Specialist,sirby,hr.manager,TRUE,TRUE
Nora,Roberts,Sales,Sales Representative,nroberts,sales.manager,FALSE,TRUE
James,Patterson,IT,Network Administrator,jpatterson,it.manager,FALSE,FALSE
Dan,Brown,Finance,Financial Analyst,danbrown,finance.manager,FALSE,TRUE
Freida,McFadden,Legal,Compliance Analyst,fmcfadden,legal.manager,FALSE,FALSE
Lucy,Foley,HR,Recruiter,lfoley,hr.manager,TRUE,TRUE
Riley,Sager,Sales,Account Executive,rsager,sales.manager,FALSE,TRUE
Alex,Michaelides,IT,Cloud Administrator,amichaelides,it.manager,FALSE,FALSE
Silvia,Moreno Garcia,Finance,Accountant,smorenogarcia,finance.manager,FALSE,TRUE
Nghi,Vo,Legal,Legal Assistant,nvo,legal.manager,FALSE,FALSE
Tamsyn,Muir,HR,HR Coordinator,tmuir,hr.manager,TRUE,TRUE
Holly,Black,Sales,Business Development Representative,hblack,sales.manager,FALSE,TRUE
Sabaa,Tahir,IT,Security Analyst,stahir,it.manager,FALSE,FALSE
Rick,Yancey,Finance,Budget Analyst,ryancey,finance.manager,FALSE,TRUE
Scott,Sigler,Legal,Paralegal,ssigler,legal.manager,FALSE,FALSE
John,Scalzi,HR,HR Specialist,jscalzi,hr.manager,TRUE,TRUE
Patrick,Rothfuss,Sales,Sales Operations Analyst,prothfuss,sales.manager,FALSE,TRUE
Jim,Butcher,IT,Systems Administrator,jbutcher,it.manager,FALSE,FALSE
Seanan,McGuire,Finance,Financial Analyst,smcguire,finance.manager,FALSE,TRUE
Fonda,Lee,Legal,Contract Specialist,flee,legal.manager,FALSE,FALSE
RF,Kuang,HR,Benefits Specialist,rfkuang,hr.manager,TRUE,TRUE
Rebecca,Roanhorse,Sales,Sales Representative,rroanhorse,sales.manager,FALSE,TRUE
Suyi,Davies,IT,Help Desk Technician,sdavies,it.manager,FALSE,FALSE
Terry,Brooks,Finance,Financial Systems Analyst,tbrooks,finance.manager,FALSE,TRUE
Guy,Gavriel Kay,Legal,Compliance Analyst,ggkay,legal.manager,FALSE,FALSE
Robert,Jordan,HR,Recruiter,rjordan,hr.manager,TRUE,TRUE
Brent,Weeks,Sales,Account Executive,bweeks,sales.manager,FALSE,TRUE
Brian,McClellan,IT,Network Administrator,bmcclellan,it.manager,FALSE,FALSE
Joe,Hill,Finance,Accountant,jhill,finance.manager,FALSE,TRUE
Richard,Morgan,Legal,Legal Operations Specialist,rmorgan,legal.manager,FALSE,FALSE
Alastair,Reynolds,HR,HR Coordinator,areynolds,hr.manager,TRUE,TRUE
Peter,Hamilton,Sales,Business Development Representative,phamilton,sales.manager,FALSE,TRUE
Adrian,Tchaikovsky,IT,Cloud Administrator,atchaikovsky,it.manager,FALSE,FALSE
China,Mieville,Finance,Financial Analyst,cmieville,finance.manager,FALSE,TRUE
Jeff,VanderMeer,Legal,Paralegal,jvandermeer,legal.manager,FALSE,FALSE
Gene,Wolfe,HR,HR Specialist,gwolfe,hr.manager,TRUE,TRUE
Lois,Bujold,Sales,Sales Operations Analyst,lbujold,sales.manager,FALSE,TRUE
Cixin,Liu,IT,Security Analyst,cliu,it.manager,FALSE,FALSE
Ted,Chiang,Finance,Budget Analyst,tchiang,finance.manager,FALSE,TRUE
Ken,Liu,Legal,Contract Specialist,kliu,legal.manager,FALSE,FALSE
Yoon Ha,Lee,HR,Benefits Specialist,yhlee,hr.manager,TRUE,TRUE
S A,Corey,Sales,Sales Representative,sacorey,sales.manager,FALSE,TRUE
Mary,Robinette Kowal,IT,Systems Administrator,mkowal,it.manager,FALSE,FALSE
Andy,Duncan,Finance,Financial Systems Analyst,aduncan,finance.manager,FALSE,TRUE
John,Connelly,Legal,Compliance Analyst,jconnelly,legal.manager,FALSE,FALSE
Seanan,McGuire,HR,Recruiter,smcguire2,hr.manager,TRUE,TRUE
Nora,Jemisin,Sales,Account Executive,njemisin,sales.manager,FALSE,TRUE
Vernon,God Little,IT,Help Desk Technician,vgod,it.manager,FALSE,FALSE
Amie,Kaufman,Finance,Financial Analyst,akaufman,finance.manager,FALSE,TRUE
Jay,Kristoff,Legal,Legal Assistant,jkristoff,legal.manager,FALSE,FALSE
Ava,Reid,HR,HR Coordinator,areid,hr.manager,TRUE,TRUE
Hugh,Howey,Sales,Business Development Representative,hhowey,sales.manager,FALSE,TRUE
Andy,Stanley,IT,Network Administrator,astanley,it.manager,FALSE,FALSE
Megan,Whalen Turner,Finance,Accountant,mturner,finance.manager,FALSE,TRUE
Vikram,Seth,Legal,Paralegal,vseth,legal.manager,FALSE,FALSE
Jhumpa,Lahiri,HR,HR Specialist,jlahiri,hr.manager,TRUE,TRUE
Salman,Rushdie,Sales,Sales Operations Analyst,srushdie,sales.manager,FALSE,TRUE
Arundhati,Roy,IT,Cloud Administrator,aroy,it.manager,FALSE,FALSE
Kazuo,King,Finance,Financial Systems Analyst,kkng,finance.manager,FALSE,TRUE
Han,Kang,Legal,Contract Specialist,hkang,legal.manager,FALSE,FALSE
Min Jin,Lee,HR,Benefits Specialist,mjlee,hr.manager,TRUE,TRUE
Pachinko,Author,Sales,Sales Representative,pachinkoauthor,sales.manager,FALSE,TRUE
Viet,Thanh Nguyen,IT,Security Analyst,vtnguyen,it.manager,FALSE,FALSE
Tom,Perrotta,Finance,Budget Analyst,tperrotta,finance.manager,FALSE,TRUE
Emily,St John Mandel,Legal,Compliance Analyst,emandel,legal.manager,FALSE,FALSE
Ann,Leckie,HR,Recruiter,aleckie,hr.manager,TRUE,TRUE
Martha,Wells,Sales,Account Executive,mwells2,sales.manager,FALSE,TRUE
Rebecca,Makkai,IT,Systems Administrator,rmakkai,it.manager,FALSE,FALSE
Helen,Oyeyemi,Finance,Financial Analyst,hoyeyemi,finance.manager,FALSE,TRUE
Nalo,Hopkinson,Legal,Legal Operations Specialist,nhopkinson,legal.manager,FALSE,FALSE
P Djeli,Clark,HR,HR Coordinator,pdclark,hr.manager,TRUE,TRUE
Samantha,Shannon,Sales,Sales Representative,sshannon2,sales.manager,FALSE,TRUE
Alix,Harrows,IT,Network Administrator,aharrows,it.manager,FALSE,FALSE
Tasha,Suri,Finance,Accountant,tsuri,finance.manager,FALSE,TRUE
A K,Larkwood,Legal,Paralegal,aklarkwood,legal.manager,FALSE,FALSE
Katherine,Arden,HR,HR Specialist,karden,hr.manager,TRUE,TRUE
R F,Kuang,Sales,Account Executive,rfkuang2,sales.manager,FALSE,TRUE
Seth,Dickinson,IT,Cloud Administrator,sdickinson,it.manager,FALSE,FALSE
Arkady,Martine,Finance,Financial Systems Analyst,amartine,finance.manager,FALSE,TRUE
Ann,Leckie,Legal,Compliance Analyst,aleckie2,legal.manager,FALSE,FALSE
Becky,Chambers,HR,Benefits Specialist,bchambers2,hr.manager,TRUE,TRUE
John,Scalzi,Sales,Sales Operations Analyst,jscalzi2,sales.manager,FALSE,TRUE
N K,Jemisin,IT,Security Analyst,nkjemisin2,it.manager,FALSE,FALSE
Martha,Wells,Finance,Budget Analyst,mwells3,finance.manager,FALSE,TRUE
Octavia,Butler,Legal,Contract Specialist,obutler2,legal.manager,FALSE,FALSE
Ursula,Le Guin,HR,Recruiter,uleguin2,hr.manager,TRUE,TRUE
Neil,Gaiman,Sales,Sales Representative,ngaiman2,sales.manager,FALSE,TRUE
Naomi,Novik,IT,Systems Administrator,nnovik2,it.manager,FALSE,FALSE
Leigh,Bardugo,Finance,Financial Analyst,lbardugo2,finance.manager,FALSE,TRUE
V E,Schwab,Legal,Legal Assistant,veschwab2,legal.manager,FALSE,FALSE
Erin,Morgenstern,HR,HR Coordinator,emorgenstern2,hr.manager,TRUE,TRUE
Brandon,Mull,Sales,Business Development Representative,bmull2,sales.manager,FALSE,TRUE
Robin,Hobb,IT,Help Desk Technician,rhobb2,it.manager,FALSE,FALSE
Suzanne,Collins,Finance,Accountant,scollins2,finance.manager,FALSE,TRUE
Veronica,Roth,Legal,Paralegal,vroth2,legal.manager,FALSE,FALSE
Rick,Riordan,HR,HR Specialist,rriordan2,hr.manager,TRUE,TRUE
Terry,Pratchett,Sales,Account Executive,tpratchett2,sales.manager,FALSE,TRUE
Douglas,Adams,IT,Network Administrator,dadams2,it.manager,FALSE,FALSE
Frank,Herbert,Finance,Financial Systems Analyst,fherbert2,finance.manager,FALSE,TRUE
Isaac,Asimov,Legal,Compliance Analyst,iasimov2,legal.manager,FALSE,FALSE
Ray,Bradbury,HR,Benefits Specialist,rbradbury2,hr.manager,TRUE,TRUE
Philip,Dick,Sales,Sales Representative,pdick2,sales.manager,FALSE,TRUE
Margaret,Atwood,IT,Cloud Administrator,matwood2,it.manager,FALSE,FALSE
